iter	MultiClass
0	1.207160885
1	0.9037219794
2	0.7670278873
3	0.6763864561
4	0.590411981
5	0.553016933
6	0.5133694136
7	0.4924250281
8	0.4407501435
9	0.4244561637
10	0.4135173012
11	0.4033967917
12	0.3941219974
13	0.3858869644
14	0.3570670923
15	0.350237453
16	0.3434967467
17	0.3228688048
18	0.3172958151
19	0.3106791362
20	0.3045399878
21	0.2959852438
22	0.2906947862
23	0.2845325663
24	0.2814576822
25	0.2719976306
26	0.2677456125
27	0.264012962
28	0.2601845773
29	0.2566235838
30	0.249529602
31	0.245374343
32	0.2441380635
33	0.2416280089
34	0.2385414641
35	0.2370785203
36	0.2342368086
37	0.2331777561
38	0.2328078143
39	0.2310966128
40	0.2300094292
41	0.2256147296
42	0.2217310287
43	0.22084641
44	0.2194113436
45	0.2160981528
46	0.2155836896
47	0.214742463
48	0.2103649209
49	0.2094982389
50	0.2086530266
51	0.2083242835
52	0.2076406207
53	0.2067662521
54	0.2061920008
55	0.205397506
56	0.2045902805
57	0.2042843035
58	0.2032719594
59	0.2023915734
60	0.2016267887
61	0.2007061859
62	0.2003427874
63	0.1998373369
64	0.1993410627
65	0.1991156877
66	0.1989092723
67	0.1983353799
68	0.1966529994
69	0.1961395886
70	0.1959265291
71	0.1957590918
72	0.1952238665
73	0.1950120847
74	0.1947546024
75	0.1943574609
76	0.1938626324
77	0.1926601297
78	0.1925013478
79	0.192241156
80	0.1919491501
81	0.1913017296
82	0.1910634206
83	0.190231746
84	0.1899457437
85	0.1890760129
86	0.1883742101
87	0.1876283014
88	0.1874010768
89	0.1869255389
90	0.1866482009
91	0.1863896999
92	0.1862551669
93	0.1860663695
94	0.1856765425
95	0.185518267
96	0.1853678553
97	0.1849381693
98	0.1843611293
99	0.1841587642
