iter	Passed	Remaining
0	8564	847910
1	16889	827566
2	25282	817481
3	34068	817635
4	42388	805383
5	50680	794000
6	59147	785812
7	67890	780737
8	76165	770112
9	84594	761350
10	93474	756294
11	101700	745804
12	110092	736773
13	118431	727509
14	126836	718741
15	135437	711048
16	143719	701690
17	152509	694767
18	160736	685243
19	169059	676236
20	177358	667206
21	185688	658350
22	194099	649812
23	202526	641332
24	211211	633633
25	219493	624712
26	228149	616849
27	236501	608147
28	244890	599559
29	253320	591081
30	261977	583110
31	270849	575555
32	279151	566761
33	287479	558047
34	295811	549364
35	304087	540599
36	312424	531966
37	320675	523207
38	329312	515079
39	338029	507044
40	346311	498350
41	354619	489713
42	362995	481180
43	371269	472524
44	379453	463776
45	387772	455211
46	397170	447873
47	405460	439249
48	413730	430617
49	421998	421998
50	430294	413420
51	438511	404779
52	446758	396182
53	455552	388063
54	464176	379780
55	472561	371297
56	480892	362778
57	489142	354206
58	497325	345599
59	505612	337074
60	514420	328891
61	522789	320419
62	531468	312132
63	539806	303641
64	548228	295200
65	556618	286742
66	564839	278204
67	573559	269910
68	581828	261401
69	590488	253066
70	598944	244639
71	607131	236106
72	615375	227604
73	623715	219143
74	632392	210797
75	640727	202334
76	649036	193868
77	657736	185515
78	665986	177034
79	674187	168546
80	682447	160080
81	692156	151936
82	701746	143731
83	709918	135222
84	717986	126703
85	726070	118197
86	733870	109658
87	742175	101205
88	750671	92779
89	759121	84346
90	768285	75984
91	779169	67753
92	787671	59287
93	795671	50787
94	803521	42290
95	811741	33822
96	819883	25357
97	827968	16897
98	861536	8702
99	871549	0
